date,open,high,low,close,volume
2025-06-02,99.77,99.77,98.89,99.12,4143390
2025-06-03,100.03,102.39,100.03,101.27,2550721
2025-06-04,101.28,105.98,101.28,105.98,1279345
2025-06-05,107.45,109.22,107.36,107.36,406884
2025-06-06,109.47,110.25,109.11,109.11,485553
2025-06-09,110.82,110.82,108.92,108.92,324097
2025-06-10,108.29,111.53,108.29,111.53,341683
2025-06-11,108.53,111.42,107.69,107.69,136317
2025-06-12,105.12,105.12,99.40,99.40,1392129
2025-06-13,99.10,99.10,97.40,98.02,322700
2025-06-16,96.81,100.40,95.30,100.40,250372
2025-06-17,101.46,101.46,96.83,96.97,172733
2025-06-18,97.21,99.92,97.21,99.92,226314
2025-06-19,99.88,104.84,99.88,104.84,3148153
2025-06-20,104.29,107.87,104.29,107.87,490981
2025-06-23,107.09,107.09,104.75,104.75,3196335
2025-06-24,104.68,107.07,104.68,107.07,134
2025-06-25,107.03,111.81,107.03,110.93,310103
2025-06-26,110.86,112.76,110.86,112.10,159596
2025-06-27,111.22,112.18,110.34,110.90,4743706
2025-06-30,112.68,113.13,110.60,110.60,7030729
2025-07-01,110.90,110.90,107.08,108.26,2958580
2025-07-02,106.67,106.67,106.20,106.55,449395
2025-07-03,105.75,105.75,102.07,102.07,84061
2025-07-04,103.37,106.01,103.37,106.01,784484
2025-07-07,104.11,105.19,101.53,101.53,97212289
2025-07-08,99.49,99.78,97.46,97.46,628592
2025-07-09,98.57,98.57,94.09,94.09,124646
2025-07-10,93.54,93.90,92.30,93.90,3041339
2025-07-11,95.39,97.34,94.81,96.61,264165
2025-07-14,96.49,96.49,93.39,93.39,142362
2025-07-15,93.80,94.77,92.87,93.76,9661225
2025-07-16,91.90,91.90,88.57,88.57,10905333
2025-07-17,88.56,89.02,87.04,87.04,5504462
2025-07-18,87.61,89.28,86.08,89.28,3998250
2025-07-21,89.73,95.36,89.73,95.36,700069
2025-07-22,97.63,97.63,94.52,94.52,994473
2025-07-23,95.99,96.35,92.05,93.19,384769
2025-07-24,92.82,93.25,91.01,93.25,854527
2025-07-25,94.49,94.49,87.95,87.95,735701
2025-07-28,88.23,88.23,83.66,83.66,171985
2025-07-29,83.49,84.78,83.40,84.71,505419
2025-07-30,87.47,87.47,85.96,85.96,296336
2025-07-31,88.34,88.34,83.98,83.98,3374160
2025-08-01,85.60,85.60,82.49,84.77,113993
2025-08-04,84.49,84.49,82.50,83.18,633332
2025-08-05,83.92,87.25,83.67,87.25,517225
2025-08-06,88.52,90.91,88.52,90.61,5103360
2025-08-07,88.90,88.90,85.91,86.04,461177
2025-08-08,86.81,86.81,84.48,84.48,92086
2025-08-11,85.52,85.52,84.85,85.03,44375
2025-08-12,85.00,85.00,81.85,81.85,3066062
2025-08-13,82.75,83.52,80.73,80.73,10453196
2025-08-14,80.49,82.34,80.49,82.34,8246
2025-08-15,83.77,84.71,81.56,81.56,822956
2025-08-18,81.38,82.02,81.38,81.88,2020183
2025-08-19,81.51,83.41,81.51,81.67,281588
2025-08-20,81.84,81.84,76.68,76.68,311482
2025-08-21,78.80,81.47,78.80,80.68,185122
2025-08-22,81.15,81.15,78.55,78.55,30268
2025-08-25,79.76,79.76,76.35,77.66,7441352
2025-08-26,77.10,77.10,76.51,76.81,13125610
2025-08-27,78.52,78.52,76.88,76.88,329819
2025-08-28,76.57,77.59,76.47,77.59,195940
2025-08-29,75.56,75.56,72.39,72.39,567460
